Genbank identifier	Gene_yeast_GI
10383805	SSK22_Scer_10383805 
10383767	KCC4_Scer_10383767 
10383810	KIN82_Scer_10383810 
14318536	CMK1_Scer_14318536 
14318486	RIM15_Scer_14318486 
14318490	CAK1_Scer_14318490 
6319533	AKL1_Scer_6319533
6321417	ALK1_Scer_6321417
6324308	ARK1_Scer_6324308
6321258	ATG1_Scer_6321258
6322366	BCK1_Scer_6322366
6321701	BUD32_Scer_6321701
6321627	BUB1_Scer_6321627
6324168	CBK1_Scer_6324168
6319328	CDC15_Scer_6319328
6320187	CDC7_Scer_6320187
6319636	CDC28_Scer_6319636
6323643	CDC5_Scer_6323643
6319751	CHK1_Scer_6319751
6324635	CKA2_Scer_6324635
6322154	CKA1_Scer_6322154
6324031	CLA4_Scer_6324031
6324557	CMK2_Scer_6324557
6322710	CTK1_Scer_6322710
6321529	DBF2_Scer_6321529
6325368	DBF20_Scer_6325368
6320102	DUN1_Scer_6320102
6322803	ELM1_Scer_6322803
6321489	FMP48_Scer_6321489
6319455	FUS3_Scer_6319455
6320489	GCN2_Scer_6320489
6320715	GIN4_Scer_6320715
6322296	HAL5_Scer_6322296
6323142	HOG1_Scer_6323142
6325052	HRR25_Scer_6325052
6324841	HRK1_Scer_6324841
6322748	HSL1_Scer_6322748
6322355	IME2_Scer_6322355
6325047	IPL1_Scer_6325047
6321870	IRE1_Scer_6321870
6325363	ISR1_Scer_6325363
6319327	KIN3_Scer_6319327
6321894	KIC1_Scer_6321894
6323125	KIN2_Scer_6323125
6320095	KIN28_Scer_6320095
6320327	KIN1_Scer_6320327
6324807	KIN4_Scer_6324807
6322680	KKQ8_Scer_6322680
6323009	KNS1_Scer_6323009
6321874	KSP1_Scer_6321874
6321477	KSS1_Scer_6321477
6324022	MCK1_Scer_6324022
6324927	MEK1_Scer_6324927
6324805	MKK1_Scer_6324805
6325117	MKK2_Scer_6325117
6320176	MPS1_Scer_6320176
6320124	MRK1_Scer_6320124
6324146	NPR1_Scer_6324146
6322827	PAN3_Scer_6322827
6322333	PBS2_Scer_6322333
6325226	PHO85_Scer_6325226
6320698	PKH1_Scer_6320698
6324472	PKH2_Scer_6324472
6320674	PKH3_Scer_6320674
6319363	PKC1_Scer_6319363
6322096	PRK1_Scer_6322096
6319987	PRR2_Scer_6319987
6322733	PRR1_Scer_6322733
6324527	PSK2_Scer_6324527
6319302	PSK1_Scer_6319302
6322650	PTK1_Scer_6322650
6322519	PTK2_Scer_6322519
6325104	RAD53_Scer_6325104
6323277	RCK2_Scer_6323277
6321280	RCK1_Scer_6321280
6324122	RIO2_Scer_6324122
6323788	RIM11_Scer_6323788
6320976	SAK1_Scer_6320976
6319853	SAT4_Scer_6319853
6321999	SCH9_Scer_6321999
6321355	SCY1_Scer_6321355
6325419	SGV1_Scer_6325419
6323872	SKY1_Scer_6323872
6324459	SKM1_Scer_6324459
6325231	SKS1_Scer_6325231
6321819	SLT2_Scer_6321819
6325311	SMK1_Scer_6325311
6320685	SNF1_Scer_6320685
6320731	SPS1_Scer_6320731
6324358	SSK2_Scer_6324358
6325215	SSN3_Scer_6325215
6323394	STE11_Scer_6323394
6321780	STE20_Scer_6321780
6320042	STE7_Scer_6320042
6322274	SWE1_Scer_6322274
6321259	TOS3_Scer_6321259
6322682	TPK3_Scer_6322682
6322297	TPK1_Scer_6322297
6325053	TPK2_Scer_6325053
6320453	VHS1_Scer_6320453
6319573	VPS15_Scer_6319573
6322320	YAK1_Scer_6322320
6319502	YBR028C_Scer_6319502
6319462	YBL009W_Scer_6319462
6324175	YCK2_Scer_6324175
7276233	YCK3_Scer_7276233
6321927	YCK1_Scer_6321927
7276233	YCK3_Scer_7276233
6320179	YDL025C_Scer_6320179
6324444	YGK3_Scer_6324444
6322404	YJL057C_Scer_6322404
6322677	YKL171W_Scer_6322677
6322649	YKT9_Scer_6322649
6322688	YKL161C_Scer_6322688
6323948	YMR291W_Scer_6323948
6324375	YNR047W_Scer_6324375
6323751	YPK2_Scer_6323751
6325020	YPL236C_Scer_6325020
6322723	YPK1_Scer_6322723
6325107	YPL150W_Scer_6325107
6325116	YPL141C_Scer_6325116
6325020	YPL236C_Scer_6325020
