TF pair	Coregulation coefficient	#genes shared	List of genes shared
UME6:HAP1	1.00025	10	CTT1:CYB2:MES1:RIP1:SUE1:YCR061W:YCR062W:YEL025C:YGR266W:YLR112W
PDR3:UME6	1.00075	2	SSZ1:YOR1
RPN4:GCR1	1.00075	2	BMH1:PGK1
UGA3:PHO4	1.00135	2	VIK1:YPL251W
GLN3:INO4	1.00215	2	ACS2:YDR278C
DAL81:YRR1	1.0023	1	PRP22
MET32:TOS8	1.00235	6	MNT3:MRF1:XDJ1:YDR544C:YLR089C:YRF11
TEC1:NRG1	1.00245	6	AAD3:GAT2:GID8:RPI1:UTR2:YOR315W
STP1:TOS4	1.00364	6	DOS2:ORC3:SPO75:YDR042C:YDR067C:YGR283C
PHO4:ASH1	1.00366	2	APT2:YDR442W
RPN4:PDR1	1.00421	6	HSH49:RPL23A:YNL337W:YNL338W:YOR318C:YRF16
RCS1:CST6	1.00452	3	ATG7:PEX32:POP7
STP4:SOK2	1.00452	1	YNL337W
MCM1:GCR1	1.00462	2	CDC19:CYC3
RDS1:INO2	1.00492	1	COT1
UPC2:FKH1	1.00502	2	ALG1:CMD1
RPH1:RME1	1.00542	1	YFR017C
PHO2:MSN2	1.00588	6	MRH1:PRP22:TDH3:TRP4:YBR085CA:YJR011C
STB5:YAP7	1.0059	3	SNQ2:YDR010C:YDR084C
ADR1:GCN4	1.00591	5	ATP7:POP4:PUT3:RIB5:YDR084C
GAT1:CUP9	1.00613	1	PTR2
SUT1:DAL81	1.00623	3	ACO1:GAT2:GID8
IXR1:LEU3	1.00633	1	YJR100C
GAT1:MGA1	1.00649	2	DOS2:YDR067C
MSN2:AFT2	1.00745	10	BMH1:CRR1:FRE1:ISU2:MMT1:MRS4:SOD2:YMR086CA:YMR087W:YOR227W
YAP5:SKO1	1.0076	2	HSH49:YOR318C
SMP1:THI2	1.00806	2	ECM15:YGR283C
MET28:HAP4	1.00816	1	MET14
HAP1:GCR1	1.00847	2	CYC1:CYC3
RAP1:INO4	1.00894	3	FAS1:OPI3:PHO5
INO2:SWI5	1.00904	3	ENO1:HXT3:PUP2
TOS4:GCR1	1.00925	3	CDC19:CYC3:PFS1
STP1:SUT1	1.00979	2	ERG26:YOL159C
MIG1:AFT2	1.0104	3	APT2:YDR442W:YEL070W
YAP5:YJL206C	1.01074	3	DAP2:FLO1:YAR047C
FZF1:HAP4	1.01091	1	YIL002WA
CYC8:TOS4	1.01163	1	FLO9
ADR1:YAP5	1.01233	5	ACS1:DAP2:DHH1:FLO1:STE7
YAP6:SFP1	1.01243	5	RPA34:RPL23A:RPS19A:TCB2:YOR315W
MET32:IXR1	1.01306	1	RPL23A
YAP6:ACE2	1.01332	8	FLO9:GCN4:HMS2:MSR1:RPS4A:YEL007W:YJR146W:ZWF1
YAP6:ARG80	1.01409	2	MAK32:YCR018CA
SWI6:HAP1	1.01435	9	CWP2:MOT3:PDR16:SKM1:UTH1:YGR110W:YKL097C:YKR040C:YOL114C
DAL81:ACE2	1.01508	5	FRS2:GAT1:UTH1:YEL007W:YKR040C
HAC1:PHD1	1.01522	1	IME1
HCM1:INO4	1.01533	4	ACC1:CHO2:MAS6:YPR013C
PDR3:REB1	1.01543	2	SPP2:SUI2
SUM1:RIM101	1.01553	2	DIT1:DIT2
SWI5:RIM101	1.01589	4	DDR48:LOT6:YMR172CA:YMR173WA
PUT3:INO4	1.0161	2	ACS2:KEL2
