TF-pair	Coregulation-coefficient	#genes shared	list of genes shared
YAP6:ABF1	0.05363	1	DAL81
REB1:CIN5	0.06154	1	FAS1
MBP1:PLM2	0.06501	1	HXT10
PHD1:ABF1	0.07362	1	ZMS1
ABF1:MCM1	0.07478	1	CDC19
YAP5:YAP7	0.07909	1	YLR460C
HSF1:TOS8	0.07964	1	APA1
ABF1:YAP1	0.08055	1	HSP12
REB1:SWI4	0.08093	1	CLB2
PLM2:SWI6	0.08514	1	PCL2
UME6:YAP7	0.08749	1	YLR297W
GCN4:FKH1	0.08841	1	YMC2
PDR1:ABF1	0.08888	1	RPL2B
ABF1:CIN5	0.08939	2	FAS1:MSN1
SMP1:ABF1	0.09704	1	RIM101
RPN4:PLM2	0.10205	1	GCN1
REB1:PHD1	0.10236	1	SET4
YHP1:SWI4	0.10773	1	YPL267W
RPN4:SWI4	0.10829	1	BMH1
PDR1:SKN7	0.10964	1	SMP2
RTG3:TOS8	0.1101	1	MAS6
YAP1:RAP1	0.11612	1	DDR2
REB1:GLN3	0.11767	1	RPA34
ABF1:MSN2	0.11821	2	FBA1:HSP12
PLM2:PUT3	0.11887	1	DBP2
REB1:DAL81	0.11979	1	PRP22
YHP1:AFT2	0.12029	1	CPR8
SFP1:YOX1	0.12159	1	RPL16B
PHO4:TOS4	0.12197	1	PPA2
TYE7:FHL1	0.1221	1	RPS21A
CBF1:GAL4	0.12369	1	GAL2
SWI5:YAP7	0.12409	1	YML131W
SMP1:GCN4	0.1248	1	RIM101
STE12:GAL4	0.12482	1	AFR1
CBF1:MSN2	0.12513	2	BMH1:TYE7
REB1:FHL1	0.12546	2	MLP2:RPL40A
HSF1:MCM1	0.12711	1	PMA1
RIM101:ABF1	0.12919	1	HOP1
RTG3:REB1	0.12923	1	PRP22
PUT3:SWI6	0.12982	1	SPO20
PUT3:FKH2	0.13096	1	ATR1
ADR1:RCS1	0.13377	1	YDR084C
SWI5:HSF1	0.13481	1	HOR7
YHP1:PHD1	0.13648	1	IME1
CIN5:GAL4	0.13788	1	GAL2
STE12:AFT2	0.1381	2	CPR8:PRM4
PDR1:MSN2	0.13836	1	SNQ2
RPN4:PHD1	0.13982	1	YEL070W
TOS8:CBF1	0.14148	3	NCP1:SRB2:VTC4
BAS1:YOX1	0.14173	1	YDR084C
HSF1:HAP4	0.14363	1	ATP17
DAL81:AFT2	0.14478	1	LAP4
GAT1:TOS8	0.14588	1	GZF3
UME6:TYE7	0.14772	1	CDC19
REB1:YAP6	0.14891	2	CLB3:RPA34
AFT2:FHL1	0.15001	2	AAC1:FUN26
HCM1:HSF1	0.15035	2	CHO2:YDL180W
SMP1:FKH2	0.15291	1	EXG1
NRG1:RAP1	0.15295	2	SYC1:YHR033W
MSN4:ABF1	0.15324	3	HSP12:MNN10:RPL2A
RCS1:FKH2	0.15482	3	CLB2:SPC24:ZMS1
HAP4:MCM1	0.1564	1	KGD2
CBF1:DAL80	0.15684	1	PUT1
CBF1:RLM1	0.15722	1	CIS3
RPN4:GLN3	0.15738	1	ERG26
PUT3:MCM1	0.1596	1	YMR253C
PLM2:SWI4	0.16028	2	CSH1:PCL2
SWI5:PUT3	0.16466	1	YER138C
YHP1:CIN5	0.16467	2	IME1:YLR413W
STP1:YAP5	0.16543	1	GRX5
MGA1:SOK2	0.16833	1	AAD3
RPN4:FHL1	0.16873	2	RPL23A:RPS30A
MCM1:FHL1	0.16899	2	RPS24B:YJL200C
PDR1:MCM1	0.17029	1	STE6
STE12:HAP4	0.17148	2	RIF2:YLR454W
ABF1:BAS1	0.17188	1	HIS7
SMP1:HSF1	0.17278	1	HRK1
PUT3:HAP4	0.17288	1	INH1
DAL81:ABF1	0.17417	2	BAP3:CHA1
CHA4:YOX1	0.17481	1	PEP5
MET32:SKN7	0.17482	1	RPA34
MIG1:RCS1	0.17493	1	CAT8
RTG3:HAP1	0.17501	1	HOR7
REB1:YAP7	0.17527	2	CAF17:ISA2
CAD1:ABF1	0.17555	1	HSP12
ABF1:GAT3	0.1777	1	RPL2B
DAL80:FHL1	0.17803	1	DUR3
HCM1:MGA1	0.17833	1	PRP38
TEC1:PLM2	0.17886	1	PCL2
REB1:HCM1	0.17898	3	MRPL10:SDH1:TKL1
SUM1:FHL1	0.17934	1	YFR032C
RPN4:PHO4	0.17984	1	PUP2
REB1:XBP1	0.18021	1	CLB2
RAP1:YAP7	0.18176	2	RPS0B:YLR047C
PHO4:MCM1	0.1818	1	YJL051W
SMP1:FKH1	0.18276	1	EXG1
SWI6:GAL4	0.18395	1	VPS55
PHO4:PHD1	0.18428	1	GIT1
UME6:ROX1	0.18523	2	CDC19:YJL045W
SUM1:TOS8	0.18533	1	YRF11
SWI4:GAT1	0.18632	1	PTR2
GCN4:RLM1	0.18792	1	LYS9
MGA1:FHL1	0.18839	1	RPL36A
RCS1:MIG2	0.18982	1	CAT8
SKN7:ABF1	0.19078	4	ECM33:GTT3:PMP2:SLM4
GAT1:SWI6	0.19126	1	RNR4
NRG1:YHP1	0.19251	2	IME1:YLR413W
BAS1:FHL1	0.19334	1	RPL22A
CBF1:PIP2	0.19492	1	IDP2
SWI5:GCN4	0.19519	2	FRS2:GAT1
ABF1:HAL9	0.19564	1	CCT8
YOX1:INO4	0.19662	1	YDR278C
UME6:LEU3	0.19786	1	ILV2
TOS8:BAS1	0.19851	1	GCV1
MCM1:TYE7	0.19855	1	CDC19
OAF1:CIN5	0.19916	1	GLC3
MBP1:PUT3	0.19953	2	TSA1:TUB4
MGA1:SKN7	0.1999	1	YOR315W
REB1:SKN7	0.20057	3	ARF2:RPA34:SET4
RPH1:CBF1	0.2009	1	BMH1
GCN4:YOX1	0.20112	5	FOL2:RPS0B:YDR084C:YDR341C:YLR047C
RPH1:SOK2	0.20139	1	AAD3
RPN4:PHO2	0.20186	1	ERG26
OAF1:FHL1	0.20217	1	RPS24B
SMP1:CBF1	0.20264	2	CTF19:VTC3
GZF3:CIN5	0.20297	1	GAP1
CAD1:FHL1	0.20333	1	TPS1
CBF1:HAL9	0.20465	1	NOT5
YAP5:CBF1	0.20485	4	ACS1:PUP3:RAD51:YAL053W
GCN4:STE12	0.20563	4	GAT2:GID8:ORT1:YCR023C
GAT1:AFT2	0.20584	1	PRP3
SMP1:YAP1	0.20673	1	DFR1
REB1:SUT1	0.20699	1	SET4
ABF1:RTG1	0.20769	1	IDH1
REB1:RLM1	0.20891	1	RPA34
MET32:SWI4	0.21053	1	YMR144W
CIN5:PIP2	0.21114	1	GLC3
HCM1:ABF1	0.21153	5	CIK1:DHH1:HOS2:STE7:YDL012C
PLM2:RLM1	0.21195	1	POG1
RTG3:FHL1	0.21348	2	GDH3:MAS6
GAT1:ROX1	0.21419	1	YDR042C
MET32:MSN2	0.21503	1	CTA1
MCM1:RAP1	0.21558	2	CDC19:PMA1
CHA4:SOK2	0.21587	1	PEP5
MIG1:STE12	0.2162	1	SWI5
SWI4:SFP1	0.21653	1	YOR315W
REB1:NRG1	0.21727	3	CYB5:GAL1:GAL10
GAT1:HSF1	0.2174	1	YMR258C
SUM1:PLM2	0.21752	1	YRF11
SUT1:RAP1	0.21759	1	MSN4
PIP2:FHL1	0.21809	1	RPS24B
MET32:SWI6	0.21869	1	YMR144W
HCM1:GCN4	0.21895	4	MCH4:NIT1:PHO90:YNL311C
CBF1:RTG1	0.21946	1	IDH1
SWI4:YAP5	0.21947	3	HSL1:SIR4:UTH1
YHP1:GAT1	0.21951	1	HMRA2
MIG2:ABF1	0.21978	1	FES1
TEC1:YHP1	0.22216	1	YLL065W
RCS1:YJL206C	0.22222	1	FET4
STP1:AFT2	0.22328	1	PRP3
GCN4:GZF3	0.22393	1	YDR084C
YHP1:SWI6	0.22433	2	ASF1:NCA3
SWI6:SFP1	0.22455	1	YOR315W
ABF1:YOX1	0.22479	7	CWC2:DHH1:HOS2:NHP2:STE7:TOM6:YNL149C
HCM1:MIG1	0.22486	1	RPP1
GLN3:TYE7	0.22565	1	ERG26
HCM1:CHA4	0.22636	1	PEP5
HCM1:ASH1	0.22698	1	YPL056C
RPN4:STE12	0.22704	3	MFA2:PUP3:RAD51
HAL9:FHL1	0.2274	1	YJL200C
RCS1:GCR1	0.22759	1	TRS31
SFP1:FKH2	0.22808	1	YOR315W
NRG1:INO2	0.22862	1	MOT3
GCN4:TOS8	0.22873	4	ASN1:RIM101:RTG3:SFT2
MSN4:BAS1	0.22926	1	YDR084C
GAT1:HAP1	0.23022	1	ERG26
YOX1:MET4	0.2307	1	MSO1
SWI4:DAL80	0.23143	1	MRPL4
MBP1:GCN4	0.23171	4	RBA50:RPS0B:YDR084C:YLR047C
GCN4:PIP2	0.23178	1	PEX5
RPN4:SWI6	0.23193	2	PUP3:RAD51
